Price,Name,Symbol
"23,851.53",Bitcoin USD,BTC-USD
"1,780.43",Ethereum USD,ETH-USD
1.0002,Tether USD,USDT-USD
0.999984,USD Coin USD,USDC-USD
325.27,Binance Coin USD,BNB-USD
0.377450,XRP USD,XRP-USD
0.534343,Cardano USD,ADA-USD
1.0000,Binance USD USD,BUSD-USD
42.45,Solana USD,SOL-USD
9.1434,Polkadot USD,DOT-USD
0.073071,Dogecoin USD,DOGE-USD
0.055352,HEX USD,HEX-USD
28.44,Avalanche USD,AVAX-USD
0.999605,Dai USD,DAI-USD
0.924013,Polygon USD,MATIC-USD
0.070678,Wrapped TRON USD,WTRX-USD
0.000013,SHIBA INU USD,SHIB-USD
86.28,STATERA USD,STA-USD
8.7639,Uniswap USD,UNI1-USD
0.070643,TRON USD,TRX-USD
"1,719.90",Lido stETH USD,STETH-USD
"23,839.88",Wrapped Bitcoin USD,WBTC-USD
37.85,Ethereum Classic USD,ETC-USD
4.7906,UNUS SED LEO USD,LEO-USD
62.36,Litecoin USD,LTC-USD
